Student Name,Student ID,Faculty,Year of Intake,Expected Year of Graduation,Gender,Major Courses,Sponsorship Status,Nationality,Units to Complete Degree,Level of Education, Classes Attended,Classes to Graduate
Emily Jones,84730550,"School of Communication, Cinematic & Creative Arts",2022,2025,Female,Journalism,Self-sponsored,Tanzanian,125,Undergraduate,13,41
Jane Smith,56279392,School of Science & Technology,2023,2027,Other,Computer Science,Sponsored,French,59,PhD,16,15
Peter Wilson,84967595,"School of Graduate Studies, Research & Extension",2024,2025,Other,Thesis Writing,Sponsored,Nigerian,38,Masters,32,13
John Wilson,94013416,Chandaria School of Business,2025,2028,Female,Human Resource Management,Self-sponsored,Chinese,142,Undergraduate,18,40
Sarah Wilson,22490744,"School of Graduate Studies, Research & Extension",2022,2026,Other,Research Methodology,Self-sponsored,German,73,PhD,41,16
John Doe,90023292,"School of Communication, Cinematic & Creative Arts",2023,2026,Other,Journalism,Self-sponsored,Chinese,140,Undergraduate,12,42
Mary Doe,94873922,School of Science & Technology,2022,2025,Female,Computer Science,Self-sponsored,Australian,131,Undergraduate,21,41
David Brown,73034208,"School of Communication, Cinematic & Creative Arts",2025,2029,Male,Graphic Design,Self-sponsored,Nigerian,84,PhD,14,14
Peter Doe,91426339,School of Humanities & Social Sciences,2022,2026,Other,International Relations,Sponsored,Mexican,128,Undergraduate,34,44
John Davis,10527045,School of Science & Technology,2025,2030,Other,Computer Science,Self-sponsored,Tanzanian,80,PhD,28,12
Jane Brown,29850963,School of Pharmacy & Health Sciences,2023,2026,Other,Public Health,Sponsored,Canadian,135,Undergraduate,30,40
David Doe,67052095,Chandaria School of Business,2025,2028,Male,Marketing,Self-sponsored,French,57,PhD,24,15
Emily Davis,22037602,School of Science & Technology,2022,2025,Female,Biotechnology,Self-sponsored,Chinese,141,Undergraduate,45,43
Emily Jones,97741118,"School of Communication, Cinematic & Creative Arts",2024,2028,Female,Graphic Design,Self-sponsored,Ugandan,77,PhD,47,15
Jane Smith,17167760,"School of Graduate Studies, Research & Extension",2024,2026,Female,Thesis Writing,Sponsored,British,37,Masters,14,12
David Davis,83745471,School of Pharmacy & Health Sciences,2023,2027,Male,Pharmacology,Sponsored,Ugandan,154,Undergraduate,22,43
Jane Brown,35445494,School of Pharmacy & Health Sciences,2025,2026,Other,Pharmacology,Sponsored,Ugandan,51,Masters,30,12
Peter Jones,39826815,School of Humanities & Social Sciences,2023,2024,Other,Psychology,Self-sponsored,Mexican,58,Masters,24,14
Emily Smith,16097592,"School of Graduate Studies, Research & Extension",2022,2026,Male,Research Methodology,Self-sponsored,French,146,Undergraduate,49,44
Michael Brown,34749617,School of Pharmacy & Health Sciences,2023,2024,Male,Pharmacology,Sponsored,South African,53,Masters,18,13
Sarah Smith,78101805,School of Science & Technology,2025,2026,Female,Computer Science,Self-sponsored,American,50,Masters,35,16
Sarah Smith,12654366,"School of Graduate Studies, Research & Extension",2022,2025,Other,Advanced Statistics,Sponsored,Indian,69,PhD,29,15
Sarah Miller,80358640,"School of Communication, Cinematic & Creative Arts",2024,2027,Other,Film Production,Sponsored,British,126,Undergraduate,25,44
Michael Williams,50275673,"School of Graduate Studies, Research & Extension",2024,2025,Other,Thesis Writing,Self-sponsored,Mexican,34,Masters,43,14
David Smith,53783306,School of Pharmacy & Health Sciences,2022,2026,Other,Public Health,Self-sponsored,Australian,153,Undergraduate,44,43
Emily Wilson,48963107,Chandaria School of Business,2025,2027,Female,Marketing,Self-sponsored,Mexican,59,Masters,30,15
Mary Williams,52841591,School of Pharmacy & Health Sciences,2024,2029,Female,Nursing,Self-sponsored,Nigerian,72,PhD,40,13
Sarah Smith,10193289,School of Humanities & Social Sciences,2023,2025,Male,Psychology,Self-sponsored,Tanzanian,37,Masters,42,15
Jane Jones,67301249,School of Humanities & Social Sciences,2023,2027,Female,Psychology,Self-sponsored,Brazilian,55,PhD,25,15
Peter Brown,97935473,"School of Communication, Cinematic & Creative Arts",2022,2026,Female,Film Production,Sponsored,Nigerian,159,Undergraduate,47,43
Michael Davis,14944720,School of Pharmacy & Health Sciences,2022,2027,Other,Public Health,Sponsored,Tanzanian,75,PhD,15,16
Peter Brown,49036990,School of Humanities & Social Sciences,2025,2026,Male,International Relations,Sponsored,French,47,Masters,29,13
Emily Smith,79319076,Chandaria School of Business,2025,2030,Male,Human Resource Management,Sponsored,Ugandan,58,PhD,15,13
Mary Williams,63565377,School of Science & Technology,2022,2025,Male,Biotechnology,Sponsored,Rwandan,144,Undergraduate,13,44
Emily Miller,83029723,"School of Graduate Studies, Research & Extension",2024,2028,Female,Research Methodology,Sponsored,Nigerian,62,PhD,47,16
David Brown,68551056,School of Humanities & Social Sciences,2025,2026,Female,International Relations,Sponsored,Kenyan,33,Masters,43,15
Mary Smith,57362926,"School of Graduate Studies, Research & Extension",2023,2026,Female,Advanced Statistics,Self-sponsored,Canadian,89,PhD,41,12
Emily Smith,87973891,"School of Communication, Cinematic & Creative Arts",2023,2027,Male,Journalism,Self-sponsored,Chinese,73,PhD,28,13
Jane Smith,71451179,"School of Graduate Studies, Research & Extension",2024,2028,Other,Advanced Statistics,Sponsored,Chinese,80,PhD,25,13
David Williams,92344845,School of Pharmacy & Health Sciences,2024,2028,Other,Pharmacology,Self-sponsored,Kenyan,125,Undergraduate,33,41
John Davis,74343164,Chandaria School of Business,2023,2028,Female,Finance,Sponsored,Australian,56,PhD,35,14
John Williams,48014546,Chandaria School of Business,2023,2026,Female,Human Resource Management,Self-sponsored,Mexican,124,Undergraduate,22,41
David Williams,59606231,School of Pharmacy & Health Sciences,2023,2026,Male,Pharmacology,Self-sponsored,Canadian,59,PhD,42,16
Jane Jones,43920433,School of Humanities & Social Sciences,2025,2029,Female,Sociology,Self-sponsored,Kenyan,60,PhD,20,16
David Wilson,44767720,School of Science & Technology,2025,2029,Female,Computer Science,Self-sponsored,French,85,PhD,15,12
Emily Jones,94250794,School of Science & Technology,2024,2028,Female,Biotechnology,Sponsored,Kenyan,156,Undergraduate,49,42
Sarah Williams,54580940,School of Humanities & Social Sciences,2025,2028,Other,International Relations,Self-sponsored,Australian,156,Undergraduate,47,41
Michael Smith,20561525,School of Pharmacy & Health Sciences,2023,2026,Male,Pharmacology,Sponsored,Mexican,83,PhD,35,12
Jane Davis,30321170,School of Pharmacy & Health Sciences,2023,2027,Female,Nursing,Sponsored,Brazilian,152,Undergraduate,42,43
David Doe,13749169,Chandaria School of Business,2023,2027,Female,Marketing,Sponsored,Nigerian,130,Undergraduate,19,43
Sarah Davis,13413573,"School of Graduate Studies, Research & Extension",2022,2026,Other,Thesis Writing,Sponsored,American,54,PhD,50,14
Sarah Davis,16832665,Chandaria School of Business,2023,2028,Male,Marketing,Self-sponsored,French,84,PhD,26,12
Mary Wilson,82019011,School of Humanities & Social Sciences,2025,2026,Male,International Relations,Self-sponsored,American,34,Masters,17,12
Michael Smith,25291062,Chandaria School of Business,2025,2028,Other,Marketing,Sponsored,Rwandan,66,PhD,38,13
Michael Miller,39043957,"School of Communication, Cinematic & Creative Arts",2024,2028,Female,Graphic Design,Self-sponsored,Australian,81,PhD,23,16
Peter Smith,13081533,School of Science & Technology,2024,2026,Other,Computer Science,Self-sponsored,Tanzanian,44,Masters,44,16
Emily Jones,61352691,School of Pharmacy & Health Sciences,2022,2026,Male,Pharmacology,Self-sponsored,Rwandan,156,Undergraduate,32,41
Sarah Smith,86554325,School of Humanities & Social Sciences,2024,2028,Other,Psychology,Self-sponsored,Mexican,128,Undergraduate,27,41
Michael Smith,13712360,School of Humanities & Social Sciences,2022,2026,Male,Sociology,Self-sponsored,French,135,Undergraduate,40,42
Peter Williams,33950072,School of Pharmacy & Health Sciences,2023,2027,Female,Public Health,Self-sponsored,Australian,61,PhD,49,16
Mary Brown,19300779,School of Pharmacy & Health Sciences,2025,2029,Male,Public Health,Self-sponsored,British,153,Undergraduate,37,43
Michael Wilson,79247330,"School of Graduate Studies, Research & Extension",2023,2027,Female,Advanced Statistics,Sponsored,Nigerian,130,Undergraduate,18,40
Sarah Jones,82620359,School of Science & Technology,2022,2026,Other,Biotechnology,Sponsored,South African,85,PhD,26,12
Emily Doe,18166256,School of Humanities & Social Sciences,2024,2025,Female,Psychology,Self-sponsored,South African,35,Masters,42,15
David Doe,59354497,"School of Communication, Cinematic & Creative Arts",2023,2025,Male,Journalism,Sponsored,Canadian,48,Masters,13,12
Sarah Davis,89789294,School of Science & Technology,2023,2027,Other,Computer Science,Sponsored,South African,142,Undergraduate,36,40
Emily Davis,73251403,School of Humanities & Social Sciences,2023,2025,Other,International Relations,Sponsored,Rwandan,49,Masters,32,14
Mary Smith,53441710,"School of Graduate Studies, Research & Extension",2022,2027,Female,Thesis Writing,Self-sponsored,Brazilian,56,PhD,30,13
David Brown,37601628,School of Pharmacy & Health Sciences,2023,2026,Other,Nursing,Self-sponsored,South African,47,PhD,48,16
Mary Smith,76339269,Chandaria School of Business,2022,2026,Male,Human Resource Management,Self-sponsored,South African,129,Undergraduate,23,43
Michael Doe,44329693,Chandaria School of Business,2023,2027,Male,Marketing,Self-sponsored,Tanzanian,151,Undergraduate,22,42
Jane Brown,91830439,School of Pharmacy & Health Sciences,2025,2030,Other,Public Health,Self-sponsored,Nigerian,51,PhD,31,12
Emily Miller,53522913,School of Pharmacy & Health Sciences,2023,2027,Other,Nursing,Self-sponsored,Rwandan,143,Undergraduate,37,42
Jane Jones,89874270,"School of Graduate Studies, Research & Extension",2023,2027,Other,Thesis Writing,Sponsored,American,88,PhD,27,15
Jane Williams,77750893,"School of Graduate Studies, Research & Extension",2024,2028,Female,Thesis Writing,Self-sponsored,Tanzanian,52,PhD,22,16
Michael Wilson,15736768,School of Humanities & Social Sciences,2024,2028,Male,Sociology,Sponsored,French,155,Undergraduate,10,42
David Wilson,22554565,Chandaria School of Business,2024,2025,Female,Human Resource Management,Self-sponsored,Mexican,35,Masters,39,15
Sarah Williams,98916262,School of Science & Technology,2025,2029,Male,Biotechnology,Sponsored,Ugandan,65,PhD,10,15
Peter Miller,64197308,Chandaria School of Business,2023,2026,Other,Finance,Sponsored,Kenyan,126,Undergraduate,25,40
Michael Smith,95328953,"School of Communication, Cinematic & Creative Arts",2022,2023,Female,Journalism,Self-sponsored,Tanzanian,38,Masters,47,12
Michael Wilson,94651519,School of Science & Technology,2023,2027,Female,Mathematics,Sponsored,South African,54,PhD,26,12
Sarah Davis,86158746,School of Humanities & Social Sciences,2025,2029,Female,Psychology,Self-sponsored,German,136,Undergraduate,49,42
John Miller,13500464,Chandaria School of Business,2022,2023,Male,Finance,Self-sponsored,Australian,41,Masters,19,12
Jane Doe,82453902,School of Science & Technology,2022,2027,Female,Computer Science,Sponsored,Canadian,71,PhD,15,16
Michael Wilson,59047779,School of Science & Technology,2023,2027,Other,Mathematics,Sponsored,Chinese,127,Undergraduate,30,40
Mary Wilson,16752983,School of Humanities & Social Sciences,2025,2027,Female,Sociology,Self-sponsored,Ugandan,53,Masters,34,13
John Doe,63792504,School of Pharmacy & Health Sciences,2025,2029,Other,Nursing,Sponsored,British,48,PhD,35,16
David Davis,94316620,School of Pharmacy & Health Sciences,2022,2026,Other,Public Health,Self-sponsored,Brazilian,67,PhD,38,15
Peter Brown,81932916,School of Pharmacy & Health Sciences,2024,2029,Other,Nursing,Self-sponsored,German,52,PhD,27,13
David Williams,84948028,"School of Communication, Cinematic & Creative Arts",2022,2027,Male,Journalism,Sponsored,Chinese,48,PhD,33,12
David Smith,77799753,School of Humanities & Social Sciences,2024,2026,Male,International Relations,Self-sponsored,Tanzanian,46,Masters,30,16
Sarah Jones,15795961,School of Pharmacy & Health Sciences,2022,2026,Female,Nursing,Sponsored,Brazilian,49,PhD,10,13
John Davis,85221164,School of Science & Technology,2023,2024,Female,Mathematics,Sponsored,Australian,45,Masters,16,13
Emily Wilson,13939992,School of Science & Technology,2022,2027,Female,Mathematics,Sponsored,German,62,PhD,13,14
Peter Doe,61091679,"School of Communication, Cinematic & Creative Arts",2024,2026,Male,Journalism,Sponsored,Mexican,44,Masters,49,13
Jane Doe,31798721,"School of Communication, Cinematic & Creative Arts",2024,2028,Other,Journalism,Sponsored,Canadian,82,PhD,18,12
Jane Wilson,82405037,Chandaria School of Business,2022,2026,Male,Marketing,Self-sponsored,Indian,128,Undergraduate,37,43
Sarah Jones,31263803,"School of Graduate Studies, Research & Extension",2025,2028,Other,Thesis Writing,Self-sponsored,German,66,PhD,30,15
Sarah Doe,94118504,School of Humanities & Social Sciences,2023,2024,Female,Sociology,Self-sponsored,Rwandan,37,Masters,23,15
Mary Wilson,81546269,School of Science & Technology,2024,2027,Other,Biotechnology,Self-sponsored,American,81,PhD,16,13
Michael Jones,51347657,School of Humanities & Social Sciences,2024,2029,Female,Sociology,Sponsored,Nigerian,89,PhD,29,16
Jane Davis,45428161,Chandaria School of Business,2025,2030,Other,Finance,Self-sponsored,American,75,PhD,40,12
David Brown,67893783,Chandaria School of Business,2024,2028,Other,Human Resource Management,Sponsored,Ugandan,130,Undergraduate,24,44
Peter Jones,45125626,Chandaria School of Business,2025,2027,Female,Marketing,Sponsored,British,59,Masters,22,13
Michael Doe,93892561,School of Pharmacy & Health Sciences,2022,2023,Other,Public Health,Self-sponsored,German,40,Masters,10,12
John Smith,20113692,School of Science & Technology,2025,2026,Male,Computer Science,Self-sponsored,Indian,40,Masters,11,16
Peter Brown,14720526,School of Humanities & Social Sciences,2023,2025,Female,International Relations,Sponsored,Tanzanian,35,Masters,49,16
Mary Wilson,98248201,School of Humanities & Social Sciences,2024,2026,Other,Psychology,Sponsored,French,30,Masters,12,14
John Davis,76874278,School of Pharmacy & Health Sciences,2024,2026,Other,Nursing,Self-sponsored,Canadian,42,Masters,47,12
Sarah Doe,63788948,School of Humanities & Social Sciences,2023,2027,Female,Sociology,Self-sponsored,German,78,PhD,20,15
Emily Smith,75168946,Chandaria School of Business,2023,2026,Other,Human Resource Management,Self-sponsored,Ugandan,139,Undergraduate,25,41
Peter Davis,83840001,"School of Graduate Studies, Research & Extension",2025,2026,Male,Advanced Statistics,Self-sponsored,British,53,Masters,10,16
Mary Davis,45412603,School of Humanities & Social Sciences,2023,2024,Male,International Relations,Sponsored,Brazilian,38,Masters,21,13
Michael Miller,49962052,"School of Communication, Cinematic & Creative Arts",2024,2025,Male,Film Production,Self-sponsored,Kenyan,32,Masters,44,12
Peter Williams,65577576,"School of Graduate Studies, Research & Extension",2025,2027,Female,Thesis Writing,Self-sponsored,Rwandan,53,Masters,23,13
Peter Jones,82344571,"School of Graduate Studies, Research & Extension",2025,2029,Other,Research Methodology,Sponsored,Chinese,82,PhD,20,16
David Miller,75717448,Chandaria School of Business,2023,2027,Female,Human Resource Management,Self-sponsored,Tanzanian,158,Undergraduate,44,40
Michael Williams,43896535,School of Pharmacy & Health Sciences,2025,2030,Male,Pharmacology,Self-sponsored,Chinese,68,PhD,50,14
John Doe,47158545,School of Science & Technology,2023,2025,Female,Computer Science,Sponsored,Rwandan,53,Masters,29,12
David Miller,96199710,School of Science & Technology,2023,2027,Other,Computer Science,Sponsored,Australian,58,PhD,37,13
Peter Doe,83674639,School of Humanities & Social Sciences,2025,2028,Female,Sociology,Self-sponsored,Chinese,84,PhD,37,12
John Jones,72089654,Chandaria School of Business,2024,2028,Female,Human Resource Management,Sponsored,Chinese,57,PhD,10,16
John Williams,68254116,School of Pharmacy & Health Sciences,2024,2029,Female,Nursing,Sponsored,Brazilian,53,PhD,15,12
Emily Jones,89229037,Chandaria School of Business,2022,2023,Other,Marketing,Self-sponsored,Rwandan,39,Masters,15,16
David Brown,46695856,School of Science & Technology,2023,2026,Female,Biotechnology,Sponsored,British,154,Undergraduate,36,43
David Jones,91050939,School of Pharmacy & Health Sciences,2024,2028,Male,Nursing,Sponsored,South African,50,PhD,13,15
Peter Wilson,89078010,"School of Communication, Cinematic & Creative Arts",2023,2026,Male,Film Production,Sponsored,Canadian,136,Undergraduate,41,42
David Brown,82137171,School of Science & Technology,2023,2025,Female,Mathematics,Sponsored,Kenyan,35,Masters,26,12
David Jones,45809231,"School of Communication, Cinematic & Creative Arts",2024,2027,Male,Journalism,Sponsored,Australian,140,Undergraduate,23,44
Mary Williams,65009997,"School of Communication, Cinematic & Creative Arts",2023,2025,Male,Film Production,Self-sponsored,German,55,Masters,41,16
Sarah Doe,94488087,"School of Graduate Studies, Research & Extension",2024,2027,Female,Advanced Statistics,Sponsored,South African,77,PhD,15,16
Sarah Brown,63434918,School of Science & Technology,2025,2029,Female,Computer Science,Self-sponsored,Indian,120,Undergraduate,14,41
John Brown,26923254,School of Science & Technology,2024,2025,Female,Computer Science,Self-sponsored,Chinese,40,Masters,24,12
John Wilson,48435929,"School of Communication, Cinematic & Creative Arts",2022,2025,Female,Graphic Design,Self-sponsored,Rwandan,129,Undergraduate,37,42
Emily Williams,43054703,School of Science & Technology,2023,2024,Other,Biotechnology,Sponsored,Ugandan,60,Masters,42,14
Emily Wilson,73449149,"School of Communication, Cinematic & Creative Arts",2023,2024,Other,Graphic Design,Sponsored,Tanzanian,54,Masters,41,14
Peter Williams,30561883,"School of Communication, Cinematic & Creative Arts",2025,2028,Other,Graphic Design,Self-sponsored,German,129,Undergraduate,22,44
Michael Williams,82951389,School of Pharmacy & Health Sciences,2023,2026,Male,Public Health,Sponsored,Australian,46,PhD,21,13
John Davis,54114734,"School of Graduate Studies, Research & Extension",2023,2026,Other,Research Methodology,Self-sponsored,American,63,PhD,24,13
Sarah Jones,62301589,Chandaria School of Business,2023,2027,Male,Marketing,Self-sponsored,British,77,PhD,11,16
Jane Jones,95970247,School of Pharmacy & Health Sciences,2024,2027,Male,Nursing,Sponsored,Kenyan,75,PhD,49,13
Mary Miller,10898444,"School of Graduate Studies, Research & Extension",2022,2026,Other,Research Methodology,Sponsored,Tanzanian,138,Undergraduate,25,43
John Doe,42406666,Chandaria School of Business,2025,2029,Other,Finance,Sponsored,Canadian,145,Undergraduate,45,44
Emily Miller,25061618,School of Pharmacy & Health Sciences,2022,2026,Other,Nursing,Self-sponsored,British,145,Undergraduate,42,41
John Jones,10627113,"School of Graduate Studies, Research & Extension",2025,2029,Other,Advanced Statistics,Self-sponsored,American,130,Undergraduate,25,43
Sarah Williams,93418378,School of Humanities & Social Sciences,2024,2027,Female,Sociology,Self-sponsored,Indian,120,Undergraduate,22,43
Sarah Jones,77490871,"School of Communication, Cinematic & Creative Arts",2022,2026,Male,Graphic Design,Self-sponsored,Canadian,75,PhD,44,13
Peter Davis,41826910,"School of Communication, Cinematic & Creative Arts",2025,2026,Male,Journalism,Self-sponsored,Australian,38,Masters,34,15
Mary Smith,36925211,School of Humanities & Social Sciences,2023,2025,Female,Sociology,Sponsored,Tanzanian,54,Masters,10,15
Emily Williams,30535690,School of Pharmacy & Health Sciences,2024,2025,Female,Pharmacology,Self-sponsored,Ugandan,54,Masters,19,15
Peter Doe,86387391,School of Humanities & Social Sciences,2022,2024,Female,Psychology,Sponsored,Rwandan,37,Masters,20,14
David Williams,89342885,School of Humanities & Social Sciences,2023,2027,Other,Psychology,Sponsored,British,143,Undergraduate,40,40
John Wilson,82750043,School of Pharmacy & Health Sciences,2025,2029,Female,Nursing,Self-sponsored,Kenyan,128,Undergraduate,21,44
Peter Doe,36337403,"School of Communication, Cinematic & Creative Arts",2023,2025,Other,Graphic Design,Sponsored,Kenyan,35,Masters,42,12
Peter Smith,26850390,"School of Graduate Studies, Research & Extension",2025,2030,Male,Research Methodology,Sponsored,Nigerian,59,PhD,30,13
Jane Wilson,76136457,Chandaria School of Business,2025,2026,Male,Finance,Self-sponsored,Tanzanian,58,Masters,37,16
Jane Jones,97293697,School of Pharmacy & Health Sciences,2022,2024,Male,Public Health,Sponsored,Brazilian,60,Masters,49,15
Emily Doe,79383120,"School of Graduate Studies, Research & Extension",2022,2025,Male,Research Methodology,Self-sponsored,British,46,PhD,14,13
Mary Wilson,11432140,Chandaria School of Business,2023,2026,Other,Finance,Sponsored,Australian,122,Undergraduate,41,41
Michael Doe,62011131,School of Science & Technology,2023,2025,Male,Computer Science,Sponsored,British,38,Masters,44,15
John Williams,12708604,"School of Communication, Cinematic & Creative Arts",2024,2027,Male,Graphic Design,Sponsored,Nigerian,150,Undergraduate,32,43
David Doe,23865915,School of Humanities & Social Sciences,2024,2028,Other,Sociology,Self-sponsored,German,141,Undergraduate,36,42
Michael Brown,12028313,Chandaria School of Business,2022,2026,Male,Finance,Sponsored,Canadian,160,Undergraduate,29,44
David Doe,98036923,School of Science & Technology,2023,2027,Other,Computer Science,Sponsored,Canadian,70,PhD,46,13
Sarah Wilson,75017378,"School of Graduate Studies, Research & Extension",2025,2029,Other,Thesis Writing,Self-sponsored,Chinese,75,PhD,35,14
Emily Wilson,62730234,School of Humanities & Social Sciences,2022,2027,Male,International Relations,Self-sponsored,Brazilian,60,PhD,42,12
John Jones,76194383,"School of Graduate Studies, Research & Extension",2022,2025,Other,Advanced Statistics,Sponsored,American,151,Undergraduate,20,40
John Smith,30934704,"School of Communication, Cinematic & Creative Arts",2024,2028,Other,Film Production,Sponsored,French,151,Undergraduate,40,43
Jane Doe,62982433,School of Pharmacy & Health Sciences,2024,2026,Female,Nursing,Self-sponsored,British,50,Masters,26,12
Michael Wilson,50426998,"School of Communication, Cinematic & Creative Arts",2025,2029,Female,Journalism,Sponsored,British,154,Undergraduate,10,41
David Smith,28998796,School of Pharmacy & Health Sciences,2023,2027,Other,Nursing,Self-sponsored,Brazilian,143,Undergraduate,27,40
Peter Miller,47488733,Chandaria School of Business,2024,2026,Female,Human Resource Management,Self-sponsored,Ugandan,53,Masters,14,16
Jane Brown,50498409,Chandaria School of Business,2023,2027,Male,Human Resource Management,Sponsored,Indian,159,Undergraduate,35,42
Emily Doe,95513695,Chandaria School of Business,2025,2026,Female,Marketing,Self-sponsored,South African,57,Masters,50,16
Peter Jones,74350159,School of Pharmacy & Health Sciences,2024,2028,Male,Pharmacology,Sponsored,Ugandan,76,PhD,45,16
Michael Wilson,84392800,School of Science & Technology,2024,2027,Male,Biotechnology,Sponsored,Mexican,143,Undergraduate,32,43
Mary Davis,61934224,School of Science & Technology,2022,2025,Other,Computer Science,Self-sponsored,Ugandan,157,Undergraduate,48,43
David Doe,97426338,"School of Communication, Cinematic & Creative Arts",2022,2024,Female,Graphic Design,Sponsored,French,35,Masters,48,14
Jane Miller,75930760,School of Humanities & Social Sciences,2025,2029,Male,International Relations,Sponsored,Mexican,53,PhD,29,15
